COLD_BLAST_FLOW_RATE,O2_FLOW,STEAM_FLOW,HOT_BLAST_TEMP,COAL_RATE_TPH,BFG_CO,BFG_CO2,BFG_H2,UPTAKE_TEMP_AVG,LOWER_K,MIDDLE_K,UPPER_K,HOT_BLAST_PRESSURE,Coke_ASH,Coke_MOISTURE,Coke_VM,Coal_ASH,Coal_VM,Coal_MOIST,I_MOISTURE_COKE,I_SLAGRATE,CIRCUIT_1_HL_MJ_H,CIRCUIT_3_HL_MJ_H,CIRCUIT_4_HL_MJ_H,Burden_CENTRECOKE,Burden_COKE,Burden_NUTCOKE,HM_TEMP (output)
302911.9583,32959.49609,0.76394996,1233.785329,81.65248998,25.04757754,24.88915189,4.165702105,102.2221222,1.909478108,0.756912112,0.48768567,3.880796353,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10856.01395,73262.86692,1668.071679,31.83317713,90.50609185,7.490159325,1513
302640.6354,32967.09147,0.551026108,1233.878784,82.01861127,24.9746569,24.8671325,4.180220962,106.9049759,1.922175755,0.750521938,0.496067211,3.885820468,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10842.15117,72993.25547,1663.412994,31.76189553,90.30342846,7.473387183,1513
303027.4306,32977.47049,0.561247297,1233.790378,82.01653926,24.94739045,24.89487828,4.185458581,109.0675019,1.939587216,0.75110453,0.509408686,3.90181552,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10720.09741,72375.56379,1678.936029,31.71895092,90.18133104,7.463282569,1513
302369.7174,32994.57878,0.553220754,1233.772082,82.06693554,24.95317793,24.92342067,4.193519354,110.685558,1.939055522,0.757559091,0.52018031,3.90516156,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10641.45561,71987.54477,1689.258935,31.66191855,90.01918018,7.449863187,1513
301574.4073,32918.77467,0.521848087,1233.764722,81.99626872,24.90465927,24.93671964,4.19854552,110.6985011,1.946471727,0.766705126,0.527215312,3.90981822,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10588.11696,71853.7831,1752.564317,31.60467013,89.85641507,7.436392971,1513
301011.7977,32867.19537,0.536736909,1233.749073,81.81033961,24.86919128,24.95047506,4.198415544,110.5006902,1.935768478,0.785468471,0.531215827,3.910828133,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10551.53227,71781.11694,1804.286512,31.54622832,89.69025699,7.422641958,302
300363.183,32771.56613,0.555460074,1233.754107,81.63579868,24.85553042,24.93855195,4.210107224,110.5227483,1.929625395,0.802037818,0.532154178,3.910679357,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10513.96325,71826.88841,1884.548536,31.48430782,89.5142085,7.408072427,1512.857143
299658.4661,32675.07605,0.563185673,1233.73999,81.37075504,24.85530881,24.94089635,4.212480595,110.0602021,1.932210423,0.809276842,0.531578808,3.909260278,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10483.785,71878.3103,1952.325633,31.43055848,89.36139175,7.395425524,1512.125
299275.6881,32601.97023,0.665276823,1233.745266,80.95295631,24.8858069,24.94097996,4.216496123,110.6843287,1.934024032,0.812371421,0.529802819,3.907465718,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10457.37219,72003.03701,2008.818585,31.39387992,89.25740465,7.38635266,1511.555556
299126.7958,32591.4724,0.780523737,1233.746485,80.57665011,24.94847631,24.94758794,4.218564932,111.3415897,1.925229772,0.820695637,0.526930064,3.905654375,17.96166667,3.533333333,0.823333333,10.23333333,15.25,1,4.16,302,10435.7126,72118.07012,2054.692884,31.38152776,89.22332259,7.381891024,1511.1
299105.9612,32627.23059,0.882210736,1233.727563,80.30179977,24.97796723,24.9427624,4.224428632,112.1867404,1.918834963,0.826410022,0.522498731,3.904384201,17.95106061,3.533333333,0.821818182,10.22020202,15.20858586,0.98989899,4.163030303,301.6212121,10453.66036,72538.36828,2091.721544,31.36387659,89.17470599,7.375385646,1510.727273
299184.6185,32655.206,0.923374655,1233.732075,80.25551245,24.98473689,24.92465207,4.230253941,112.191942,1.916733846,0.829111273,0.519202296,3.904082643,17.94027778,3.533333333,0.820277778,10.20685185,15.16648148,0.97962963,4.166111111,301.2361111,10475.15619,72948.41645,2122.486204,31.34182486,89.11397046,7.367256206,1510.416667
299354.6731,32686.4969,0.947867237,1233.770505,80.26854412,25.00419025,24.89609921,4.238587129,112.4918952,1.919561933,0.829258642,0.517259287,3.906092512,17.93115385,3.533333333,0.818974359,10.19555556,15.1308547,0.970940171,4.168717949,300.9102564,10496.862,73279.89101,2141.878593,31.32391787,89.06532372,7.359644855,1510.153846
299270.5748,32710.78111,0.928310151,1233.770519,80.34875552,25.02802238,24.87362326,4.246000619,112.5774375,1.922962433,0.827627239,0.51606239,3.906268792,17.92333333,3.533333333,0.817857143,10.18587302,15.10031746,0.963492063,4.170952381,300.6309524,10516.12014,73561.13548,2157.267637,31.30233628,89.00645817,7.350826001,1509.595238
299159.5993,32730.18069,0.891992597,1233.73481,80.44946476,25.0473405,24.85426695,4.255818001,113.2209262,1.924887245,0.826066278,0.514739821,3.905422995,17.91655556,3.533333333,0.816888889,10.17748148,15.07385185,0.957037037,4.172888889,300.3888889,10533.16109,73715.58306,2172.142662,31.27805729,88.94010221,7.3411045,1508.955556
299075.0231,32742.24573,0.865711163,1233.802362,80.60849444,25.05948595,24.83540801,4.264506633,113.8438281,1.93014386,0.825326073,0.514818359,3.907082853,17.910625,3.533333333,0.816041667,10.17013889,15.05069444,0.951388889,4.174583333,300.1770833,10548.13766,73833.9814,2185.446657,31.26949837,88.91861478,7.334820503,1508.395833
299098.7093,32758.97189,0.906725108,1233.803706,80.51136765,25.09302597,24.83130913,4.266172825,114.2799529,1.927084596,0.824638278,0.514166839,3.90573567,17.90539216,3.533333333,0.815294118,10.16366013,15.03026144,0.946405229,4.176078431,299.9901961,10559.64784,74042.23171,2204.142554,31.26336781,88.90415733,7.328919169,1507.901961
298843.8033,32763.87835,0.967576218,1233.814787,80.30639372,25.11448825,24.82071244,4.27452388,115.1111862,1.922581705,0.827079647,0.513980689,3.903939023,17.89715686,3.533333333,0.814117647,10.15346405,14.99810458,0.938562092,4.178431373,299.6960784,10552.70678,74304.83324,2254.663688,31.28116146,88.95923517,7.326373786,1507.137255
298802.3961,32763.04935,1.064895123,1233.816666,80.03780111,25.13708548,24.80131269,4.284330064,115.9305994,1.916127917,0.830081912,0.512260235,3.902115079,17.88892157,3.533333333,0.812941176,10.14326797,14.96594771,0.930718954,4.180784314,299.4019608,10551.83502,74498.73887,2306.237888,31.31951926,89.07326816,7.327934435,1506.372549
298758.0172,32759.41738,1.154006014,1233.8465,79.78541655,25.16473664,24.77104787,4.293614822,116.6595752,1.906403528,0.833178705,0.508308767,3.898008421,17.88068627,3.533333333,0.811764706,10.1330719,14.93379085,0.922875817,4.183137255,299.1078431,10572.57439,74765.70643,2354.899685,31.35668408,89.18435429,7.328546924,1505.607843
298933.2855,32781.7653,1.263963482,1233.875787,79.50280732,25.20059157,24.7416823,4.299371607,117.1063332,1.898054221,0.8339409,0.503797277,3.894976997,17.87245098,3.533333333,0.810588235,10.12287582,14.90163399,0.91503268,4.185490196,298.8137255,10600.22861,75116.82302,2390.548446,31.42424556,89.3822326,7.33575613,1505.578431
299128.7031,32865.58272,1.417459402,1233.905532,79.21347943,25.2612032,24.71815221,4.305185285,117.6826078,1.890399234,0.829380696,0.500494045,3.891485735,17.86421569,3.533333333,0.809411765,10.11267974,14.86947712,0.907189542,4.187843137,298.5196078,10630.24675,75451.91135,2406.917596,31.50730532,89.62420096,7.346572508,1505.696078
299272.0037,32942.35792,1.523796291,1233.931303,79.03286825,25.30962228,24.69775417,4.313192269,118.039363,1.892531999,0.819195157,0.497144306,3.889386722,17.85598039,3.533333333,0.808235294,10.10248366,14.83732026,0.899346405,4.190196078,298.2254902,10664.2113,75671.29711,2426.495384,31.58897731,89.86219792,7.357101013,1505.813725
299369.5858,33050.04529,1.606873306,1233.946389,78.9219501,25.35838282,24.69030145,4.318684583,118.5535055,1.894523219,0.808463762,0.495025545,3.887457273,17.8477451,3.533333333,0.807058824,10.09228758,14.8051634,0.891503268,4.19254902,297.9313725,10703.60213,75828.48817,2429.550143,31.66655004,90.08850271,7.36672113,1505.990196
299534.4259,33169.04477,1.692084571,1233.97047,78.86398405,25.41574994,24.67559783,4.324886682,119.2077354,1.8916739,0.800285586,0.493410375,3.885137058,17.8395098,3.533333333,0.805882353,10.0820915,14.77300654,0.883660131,4.194901961,297.6372549,10739.07452,75840.82458,2426.94355,31.73964526,90.30205343,7.375323536,1506.460784
299660.56,33282.25854,1.717239128,1233.977656,78.94983875,25.4503496,24.65856116,4.331336073,119.5510273,1.891743718,0.79345737,0.491641053,3.884290901,17.83127451,3.533333333,0.804705882,10.07189542,14.74084967,0.875816993,4.197254902,297.3431373,10775.13177,75780.94076,2421.918335,31.87014633,90.67884199,7.397395491,1506.931373
299685.6994,33372.59867,1.732324304,1233.983754,79.07131345,25.46725707,24.64223222,4.333075374,119.722769,1.897952317,0.782618614,0.490508371,3.883171177,17.82303922,3.533333333,0.803529412,10.06169935,14.70869281,0.867973856,4.199607843,297.0490196,10808.72409,75772.33416,2403.272134,31.97246318,90.97497305,7.413624732,1506.960784
299624.9488,33432.77801,1.742420772,1234.008576,79.19371167,25.505828,24.64176402,4.330674742,119.6429082,1.901150006,0.773231583,0.490314569,3.880883607,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10818.68105,75564.71958,2382.3084,32.08282078,91.29350885,7.432430244,1506.54902
299515.7071,33495.29176,1.788864732,1234.021009,79.13924288,25.52966024,24.64508747,4.329317285,119.9245258,1.900092571,0.764356022,0.489311826,3.876767301,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10825.75559,75240.71058,2369.292627,32.19664522,91.62143467,7.452751481,1506.137255
299246.2255,33550.52912,1.856285241,1234.008492,78.97099409,25.54205247,24.65892638,4.327794402,120.0926629,1.897198757,0.757400698,0.488232592,3.871858831,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10830.48736,74913.70974,2362.930451,32.29566376,91.90675867,7.470348926,1505.72549
299244.1783,33603.9893,1.96642416,1233.972912,78.72158843,25.5544434,24.67028092,4.32446815,120.5554852,1.888844648,0.752806388,0.48695334,3.86708045,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10837.01946,74548.09566,2341.632999,32.40466754,92.22003195,7.490956019,1505.588235
