Date,Dow Jones
6/1/1999,"10,970.80"
7/1/1999,"10,655.20"
8/1/1999,"10,829.30"
9/1/1999,"10,337"
10/1/1999,"10,729.90"
11/1/1999,"10,877.80"
12/1/1999,"11,497.10"
1/1/2000,"10,940.50"
2/1/2000,"10,128.30"
3/1/2000,"10,921.90"
4/1/2000,"10,733.90"
5/1/2000,"10,522.30"
6/1/2000,"10,447.90"
7/1/2000,"10,522"
8/1/2000,"11,215.10"
9/1/2000,"10,650.90"
10/1/2000,"10,971.10"
11/1/2000,"10,414.50"
12/1/2000,"10,788"
1/1/2024,"10,887.40"
2/1/2024,"10,495.30"
3/1/2024,9878.78
4/1/2024,"10,735"
5/1/2024,"10,911.90"
6/1/2024,"10,502.40"
7/1/2024,"10,522.80"
8/1/2024,9949.75
9/1/2024,8847.56
10/1/2024,9075.14
11/1/2024,9851.56
12/1/2024,"10,021.60"
1/2/2024,9920
2/2/2024,"10,106.10"
3/2/2024,"10,403.90"
4/2/2024,9946.22
5/2/2024,9925.25
6/2/2024,9243.26
7/2/2024,8736.59
8/2/2024,8663.5
9/2/2024,7591.93
10/2/2024,8397.03
11/2/2024,8896.09
12/2/2024,8341.63
1/3/2024,8053.81
2/3/2024,7891.08
3/3/2024,7992.13
4/3/2024,8480.09
5/3/2024,8850.26
6/3/2024,8985.44
7/3/2024,9233.8
8/3/2024,9415.82
9/3/2024,9275.06
10/3/2024,9801.12
11/3/2024,9782.46
12/3/2024,"10,453.90"
1/4/2024,10488.1
2/4/2024,"10,583.90"
3/4/2024,"10,357.70"
4/4/2024,"10,225.60"
5/4/2024,"10,188.50"
6/4/2024,"10,435.50"
7/4/2024,"10,139.70"
8/4/2024,"10,173.90"
9/4/2024,"10,080.30"
10/4/2024,"10,027.50"
11/4/2024,"10,428"
12/4/2024,"10,783"
1/5/2024,"10,489.90"
2/5/2024,"10,766.20"
3/5/2024,"10,503.80"
4/5/2024,"10,192.50"
5/5/2024,"10,467.50"
6/5/2024,"10,275"
7/5/2024,"10,640.90"
8/5/2024,"10,481.60"
9/5/2024,"10,568.70"
10/5/2024,"10,440.10"
11/5/2024,"10,805.90"
12/5/2024,"10,717.50"
1/6/2024,"10,864.90"
2/6/2024,"10,993.40"
3/6/2024,"11,109.30"
4/6/2024,"11,367.10"
5/6/2024,"11,168.30"
6/6/2024,"11,247.90"
